,ENet,RF,Lasso,XGB
Mean_Temp,-1.8075215625845935,-1.908825812189178,-1.593631273009374,-2.0812233540508345
Diurinal_Range,-0.7449549952173322,-0.4077800409730317,-0.7704788726054907,-0.33215798540076613
Isothermality,-1.5166644113697125,-1.4869047514441371,-1.6508734260443219,-1.3724803545404123
Temp_Seasonality,-3.954167291981274,-4.9335048066830804,-5.102825685149378,-5.028629978917934
Max_Temp,-1.0344257506872814,-0.7141037108394379,-1.0199076792707216,-0.7711910535937154
Min_Temp,-4.355582833824695,-4.234630816919411,-4.996830890633014,-4.286091697485797
Temp_Range,-0.7156111271105406,-0.5943839309167951,-0.8307145430746413,-0.6235846176294144
Temp_Wettest_Quarter,-3.1272204677763233,-3.231928917896989,-3.1271220745022754,-3.085960388326101
Temp_Driest_Quarter,-0.8810338576602836,-1.0278882650327827,-0.7429516082663665,-1.0746922123219886
Temp_Warmest_Quarter,-0.8574156159548234,-0.8749652481123202,-0.7261524696431174,-1.0143440775203625
Temp_Coldest_Quarter,-3.8338745446690488,-3.5518007971701406,-3.9459543616672073,-3.92030954416564
Precipitation,-0.16100827145505225,-0.3333353656604993,-0.17697825278558257,-0.3762233159686369
Precip._Wettest_Month,-0.24252031630184442,-0.3665013764443915,-0.23287667328691258,-0.471044393074057
Precip._Driest_Month,-1.0744071672798285,-1.6765233169401892,-1.3113335304492553,-1.4983797692419638
Precip_Seasonality,-0.24568614838277983,-0.4343188347249137,-0.3750500500681078,-0.24159843454191682
Precip_Wettest_Quarter,-0.11616149936258098,-0.2230391340324413,-0.14168801176453943,-0.30334546485903885
Precip_Driest_Quarter,-0.4280967758592615,-1.0421818097968463,-0.15348850019304275,-0.9402768647182157
Precip_Warmest_Quarter,-0.4007144369398626,-0.9655930368974168,-0.1347769467599283,-0.8725874214942853
Precip_Coldest_Quarter,-0.05863677204552862,-0.1333287239071414,-0.11377184366527326,-0.24072483719042945
Latitude,-1.162336415571819,-1.028509949366089,-1.210053250581716,-0.7612472401830901
Longitude,-1.0507187951288095,-0.8775450283283066,-1.0507187951288095,-1.063018090022094
