,ENet,RF,Lasso,XGB
Mean_Temp,-1.8290369375756608,-1.3355654989589405,-1.9114436791048752,-1.235264666520742
Diurinal_Range,-0.605851016229316,-0.10268539641688743,-0.6685857274314436,-0.07444445966336807
Isothermality,-0.7699393463192749,-0.9726198977210423,-1.166579455778387,-0.6518024751441076
Temp_Seasonality,-3.548998959499656,-3.1694449256435577,-7.107928859654569,-3.2742495851698643
Max_Temp,-0.8293535624962936,-0.5149685797093666,-1.029512527340572,-0.3484779464682771
Min_Temp,-2.817437832170136,-2.6015111336378665,-3.6657245347497573,-2.6732934250307707
Temp_Range,-0.21329179051118302,-0.22130505860485003,-0.44888767680928493,-0.23457239026218737
Temp_Wettest_Quarter,-2.397406347432897,-2.0302941575236897,-2.9935498691395233,-1.8787624167351182
Temp_Driest_Quarter,-1.0733734756406181,-0.8676636455315428,-1.0106660039321262,-0.7913205788062602
Temp_Warmest_Quarter,-0.9987873853771427,-0.8041159884419562,-0.954607330021885,-0.8341304716064505
Temp_Coldest_Quarter,-2.9880050130024176,-2.4317716554594804,-3.4838998671453636,-2.2716862269613705
Precipitation,-0.22198810606998606,-0.27847217391281703,-0.8140080131168471,-0.28672361266015595
Precip._Wettest_Month,-0.3565446061245616,-0.37956724378774265,-0.4379315499074144,-0.4041189877382532
Precip._Driest_Month,-0.0036497939569165583,-1.3170551429392383,-0.02035013794314966,-1.0430916214984947
Precip_Seasonality,0.42338291882153933,-0.5018477948467162,0.358012736221074,-0.4617621870842137
Precip_Wettest_Quarter,-0.22711437016299846,-0.19630131357233604,-0.41169452453351807,-0.23050627086228434
Precip_Driest_Quarter,0.1933966520268283,-0.7016474447667443,0.292718671116258,-0.6563882108218664
Precip_Warmest_Quarter,0.1674921723899575,-0.6994053212047618,0.27877012900971576,-0.5293622217921478
Precip_Coldest_Quarter,-0.23183821590353088,-0.1446081913200032,-0.39895313550865297,-0.18869962802605977
Latitude,-0.20290006657417542,-0.7098309707920243,-1.078963098458469,-0.17883897681501182
Longitude,-0.8018695382657051,-0.2400584662125639,-1.0487329133540735,-0.2357278750183589
