Geno	Mean_Temp	Diurinal_Range	Isothermality	Temp_Seasonality	Max_Temp	Min_Temp	Temp_Range	Temp_Wettest_Quarter	Temp_Driest_Quarter	Temp_Warmest_Quarter	Temp_Coldest_Quarter	Precipitation	Precip._Wettest_Month	Precip._Driest_Month	Precip_Seasonality	Precip_Wettest_Quarter	Precip_Driest_Quarter	Precip_Warmest_Quarter	Precip_Coldest_Quarter
HIRD-12-2	4.79116678237915	7.60300016403198	28.8999538421631	665.740112304688	19.07200050354	-7.23600006103516	26.3080005645752	0.829999983310699	10.9779996871948	12.9993333816528	-3.27800011634827	1921	279	66	51.1384239196777	800	214	223	673
KTMA-12-1	5.81166648864746	7.68333339691162	28.7420806884766	682.434509277344	20.2000007629395	-6.53200006484985	26.7320003509521	1.59599995613098	12.3166666030884	14.2133331298828	-2.54999995231628	1714	252	60	52.5644721984863	722	187	198	609
KTMA-12-2	5.81166648864746	7.68333339691162	28.7420806884766	682.434509277344	20.2000007629395	-6.53200006484985	26.7320003509521	1.59599995613098	12.3166666030884	14.2133331298828	-2.54999995231628	1714	252	60	52.5644721984863	722	187	198	609
KTMA-12-3	5.81166648864746	7.68333339691162	28.7420806884766	682.434509277344	20.2000007629395	-6.53200006484985	26.7320003509521	1.59599995613098	12.3166666030884	14.2133331298828	-2.54999995231628	1714	252	60	52.5644721984863	722	187	198	609
KTMA-12-4	5.81166648864746	7.68333339691162	28.7420806884766	682.434509277344	20.2000007629395	-6.53200006484985	26.7320003509521	1.59599995613098	12.3166666030884	14.2133331298828	-2.54999995231628	1714	252	60	52.5644721984863	722	187	198	609
KTMB-12-1	6.75766658782959	7.51399993896484	28.0331287384033	691.432800292969	21.1439990997314	-5.65999984741211	26.8039989471436	2.48866653442383	13.3299999237061	15.2019996643066	-1.83733332157135	1930	286	60	54.2163619995117	823	198	207	685
KTMB-12-3	6.75766658782959	7.51399993896484	28.0331287384033	691.432800292969	21.1439990997314	-5.65999984741211	26.8039989471436	2.48866653442383	13.3299999237061	15.2019996643066	-1.83733332157135	1930	286	60	54.2163619995117	823	198	207	685
KTMC-12-1	6.96666669845581	7.28999996185303	27.6220073699951	685.318969726562	21.2479991912842	-5.14400005340576	26.3919982910156	2.7093334197998	13.4286670684814	15.3746662139893	-1.48733329772949	2334	343	64	55.1414756774902	997	226	231	830
KTMC-12-2	6.96666669845581	7.28999996185303	27.6220073699951	685.318969726562	21.2479991912842	-5.14400005340576	26.3919982910156	2.7093334197998	13.4286670684814	15.3746662139893	-1.48733329772949	2334	343	64	55.1414756774902	997	226	231	830
KTMC-12-3	6.96666669845581	7.28999996185303	27.6220073699951	685.318969726562	21.2479991912842	-5.14400005340576	26.3919982910156	2.7093334197998	13.4286670684814	15.3746662139893	-1.48733329772949	2334	343	64	55.1414756774902	997	226	231	830
