Geno	Mean_Temp	Diurinal_Range	Isothermality	Temp_Seasonality	Max_Temp	Min_Temp	Temp_Range	Temp_Wettest_Quarter	Temp_Driest_Quarter	Temp_Warmest_Quarter	Temp_Coldest_Quarter	Precipitation	Precip._Wettest_Month	Precip._Driest_Month	Precip_Seasonality	Precip_Wettest_Quarter	Precip_Driest_Quarter	Precip_Warmest_Quarter	Precip_Coldest_Quarter	Full_class
BESC-105	10.7731666564941	10.7243337631226	43.7656440734863	512.614929199219	25.260000228881804	0.755999982357025	24.503999710082997	5.09200000762939	17.0446662902832	17.1906661987305	4.69799995422363	1396.0	219.0	26.0	59.355411529540994	636.0	116.0	123.0	583.0	Columbia
BESC-1050	8.08899974822998	14.7880001068115	47.7772026062012	602.4056396484381	27.131999969482397	-3.8199999332427996	30.9519996643066	2.01133322715759	15.640000343322802	16.0246658325195	1.48199999332428	928.0	161.0	10.0	70.915771484375	453.0	54.0	54.0	427.0	farSouth
BESC-1051	9.85783386230469	16.5389995574951	48.0114974975586	660.6051025390619	30.7159996032715	-3.73200011253357	34.447998046875	2.67666673660278	18.130666732788104	18.2719993591309	2.25	638.0	116.0	7.0	73.3064193725586	324.0	39.0	39.0	306.0	farSouth
BESC-1052	9.37483310699463	15.938333511352502	48.0070266723633	642.723876953125	29.5480003356934	-3.6519999504089395	33.2000007629395	2.52400016784668	17.431999206543	17.6413326263428	2.08266663551331	706.0	126.0	8.0	71.9028015136719	353.0	43.0	43.0	332.0	farSouth
BESC-1053	9.349833488464359	15.8256664276123	47.863739013671896	643.559875488281	29.4160003662109	-3.64800000190735	33.0639991760254	2.4800000190734903	17.4213333129883	17.596666336059602	2.01866674423218	705.0	125.0	8.0	71.40037536621091	351.0	43.0	43.0	328.0	farSouth
BESC-1054	10.4075002670288	17.1283340454102	48.1890983581543	681.9202880859381	31.7959995269775	-3.74799990653992	35.543998718261705	2.89866662025452	18.9346656799316	19.0380001068115	2.5226666927337598	606.0	110.0	7.0	73.28065490722659	308.0	37.0	37.0	290.0	farSouth
BESC-1055	9.43583297729492	15.9163331985474	47.8657913208008	647.79736328125	29.5400009155273	-3.71199989318848	33.251998901367195	2.5380001068115203	17.5593338012695	17.760665893554698	2.11333346366882	722.0	127.0	8.0	71.21092224121091	358.0	44.0	44.0	336.0	farSouth
BESC-1056	9.43583297729492	15.9163331985474	47.8657913208008	647.79736328125	29.5400009155273	-3.71199989318848	33.251998901367195	2.5380001068115203	17.5593338012695	17.760665893554698	2.11333346366882	722.0	127.0	8.0	71.21092224121091	358.0	44.0	44.0	336.0	farSouth
BESC-1057	9.43583297729492	15.9163331985474	47.8657913208008	647.79736328125	29.5400009155273	-3.71199989318848	33.251998901367195	2.5380001068115203	17.5593338012695	17.760665893554698	2.11333346366882	722.0	127.0	8.0	71.21092224121091	358.0	44.0	44.0	336.0	farSouth
BESC-1058	9.43583297729492	15.9163331985474	47.8657913208008	647.79736328125	29.5400009155273	-3.71199989318848	33.251998901367195	2.5380001068115203	17.5593338012695	17.760665893554698	2.11333346366882	722.0	127.0	8.0	71.21092224121091	358.0	44.0	44.0	336.0	farSouth
BESC-1059	9.97350025177002	16.3363342285156	47.834190368652294	667.072998046875	30.488000869751	-3.6640000343322794	34.1520004272461	2.74399995803833	18.4726676940918	18.4726676940918	2.37266659736633	651.0	115.0	8.0	70.23135375976561	322.0	41.0	41.0	301.0	farSouth
BESC-106	10.7731666564941	10.7243337631226	43.7656440734863	512.614929199219	25.260000228881804	0.755999982357025	24.503999710082997	5.09200000762939	17.0446662902832	17.1906661987305	4.69799995422363	1396.0	219.0	26.0	59.355411529540994	636.0	116.0	123.0	583.0	Columbia
BESC-1060	6.88933324813843	14.1660003662109	47.5050277709961	583.9176025390619	25.2280006408691	-4.59200000762939	29.8199996948242	1.28333330154419	14.1933336257935	14.696666717529302	0.6893333792686459	1144.0	191.0	11.0	70.4289245605469	547.0	63.0	65.0	519.0	farSouth
BESC-1061	8.04599952697754	14.936666488647498	47.5084838867188	614.264587402344	27.195999145507802	-4.24399995803833	31.439998626709	1.8246667385101298	15.7666664123535	16.1100006103516	1.3220000267028797	956.0	163.0	10.0	70.9685897827148	465.0	54.0	55.0	441.0	farSouth
BESC-1062	9.97350025177002	16.3363342285156	47.834190368652294	667.072998046875	30.488000869751	-3.6640000343322794	34.1520004272461	2.74399995803833	18.4726676940918	18.4726676940918	2.37266659736633	651.0	115.0	8.0	70.23135375976561	322.0	41.0	41.0	301.0	farSouth
BESC-1063	9.97350025177002	16.3363342285156	47.834190368652294	667.072998046875	30.488000869751	-3.6640000343322794	34.1520004272461	2.74399995803833	18.4726676940918	18.4726676940918	2.37266659736633	651.0	115.0	8.0	70.23135375976561	322.0	41.0	41.0	301.0	farSouth
