Geno	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32
BESC-1	-0.00150047881842863	-0.0581057181422593	0.0290781679876054	-0.0128782029436086	-0.00720131507399322	-0.0119293956506661	0.0077552412457521	-0.00687879383134483	-0.016846739379793	-0.0172099450022259	-0.00251921310036151	-0.0143856700410213	-0.02022617807143	-0.0138412456136163	0.0109987207250385	-0.00713017411396795	-0.00801327869941604	0.0214227131324664	0.029197732716421	-0.00838510116376223	-0.0310982859801073	0.010842893208771	-0.0483025760225919	0.000864992363380097	-0.058018318048685	0.00439472599824633	-0.0109411013840249	-0.0180446329603349	0.0331740804433319	-0.00538489821183421	0.0172875852116834	0.00861852785425393
BESC-10	-0.0078996402642616	-0.0621988110703877	0.0156359216567621	0.0107036043807022	0.00759517137318106	-0.0152152500725052	0.0398667140792228	-0.0293646428745994	-0.00709720782024621	-0.0290962964008273	-0.00400235656052155	-0.0180580378136728	-0.0376187843410239	-0.0187961134532801	0.0359722389247391	0.010721625846324	-0.00455620402057601	0.00116202556074894	0.0208380669809538	-0.0192708183167328	-0.00337341786296059	-0.00904542972140462	0.00884017648982425	0.00192837427529847	0.0352951511078003	0.00156815729920189	0.0286374193886177	0.0172527592686247	0.00733083715855407	0.00488172482038451	-0.0117953596696546	0.0004429532539764
BESC-100	-0.000576702372898892	-0.0633319887131962	0.034213282796872	0.0243733422959095	0.00856260740818739	-0.00383612766518096	-0.00312675245094527	0.0144327430034495	0.00642906368111056	-0.00218044415640935	0.00290470950482346	-0.00377167336914563	-0.00629299546903093	-0.000475429577151146	0.00244570484973169	-0.0032988946582416	0.00529614249537748	0.0089453963003956	-0.00198592730343183	0.0120164885923095	-0.00675661552174123	0.0086884539888268	0.013552466075215	0.0029067924070759	-0.0483736019636516	0.0209485695180297	-0.0207654472732569	0.0175304915860339	-0.0933594260455435	0.0342780020912558	0.00474970041533234	0.0187160543541482
BESC-1001	-0.0325729743026965	-0.0455424521936568	-0.110223105764185	-0.0109862485623898	-0.0101046892587494	0.0682958574114683	-0.0198505891851756	0.0201918911635919	0.00765520890657542	0.0226249463629436	-0.0378450964727958	0.0162349355270532	0.00703019687604735	0.0222987484434205	0.0116778492698222	-0.00449049034704546	0.0372433962545143	0.0453253916798212	0.0555586559848268	-0.0662742448162454	-0.00232247512998962	-0.0121611028045751	-0.0657965229949304	0.00687340084505561	0.0395959080810779	0.0742608716226452	0.0602009155281565	0.0500043035964755	-0.0311991465920155	-0.0205106359047219	-0.046957032422701	-0.0246011878325134
BESC-1002	-0.0304451292774001	-0.0429575225030535	-0.0990266221558125	-0.00252680282259672	-0.00198635268711582	0.0545757497498659	-0.00406883257661477	0.00153163078183869	0.012638123970313	0.0112833876839774	-0.0138557118993886	-0.00178286503648026	-0.0127023383551234	0.00244383401968735	0.0163940441198177	0.00603034944392529	-0.00371936567712183	0.0107342515432679	0.00975585547997351	-0.0186807644689651	-0.013452122470718	-0.0044314214377693	0.0294568721229968	-0.00676384851356616	-0.00352024898435326	-0.00975967032863214	0.0025978377698937	0.00477513055268385	0.00197145921633856	0.0187744333998424	0.0129680948841533	0.0163155095808649
BESC-1003	-0.0301126278544367	-0.044301641145044	-0.100881009163727	-0.0119412134394904	-0.0126564983301205	0.0587832357016501	-0.0125042481864564	0.00663042711338732	0.00442909745385265	0.00833890649872518	-0.0218051128253568	-0.0034217155649564	-0.0136045760639416	0.000970412275016416	0.0206208339785062	0.00377891796319134	0.00185312107677433	0.00113084294729017	0.00868861832518313	-0.0243039788679119	-0.0175002147063269	-0.014481277144647	0.0320059798372111	-0.00141536483305125	-0.0141057861061902	-0.0103912278338486	-0.00262185051397818	-0.00802956417506505	0.00209434895229278	0.0018363565565286	0.021823377621368	0.0259488383220613
BESC-1004	-0.030432804158551	-0.0433685758987247	-0.0939245083686972	0.00746567671609931	-0.0011383204646455	0.0606557652856511	-0.00748533232147212	0.0177819287983557	0.0130557847140934	0.00914090913444526	-0.00551204160120272	0.00543917120071216	-0.0123676839931695	-0.00273221655073868	0.0149270398851443	0.0012066982673752	-0.00490812391840671	-0.007364220679109	-0.00353469403915072	-0.00518137046248479	0.0101006739776865	-0.0171071365292052	0.032592225517285	-0.00237364193534405	0.0183244125652562	-0.0213391960535384	0.00315493168926328	-0.0023269964378247	0.00954398362301797	0.0309686817626226	0.0507339302112326	0.0401592186202181
BESC-1005	-0.0308429227332279	-0.044163147191512	-0.105330373678583	-0.00276421663156091	-0.00319655899931469	0.0598689069464192	-0.00552454201865824	0.0104277483670607	0.0135031146772852	0.0039219828016376	-0.0171378886620643	-0.00259086247316357	-0.0138987390029077	0.00387936795924154	0.0272125968920038	0.00419703813613301	-0.00154753523261197	0.00101553993125528	0.00574525712798313	-0.0366414076520079	-0.00683202209259266	-0.0197087648466601	0.0425744943942179	0.00339002632927133	0.00040091230209386	-0.00478369976464592	0.00107135748014268	-0.0068515065951307	0.00591209028310956	0.0197397583198127	0.0372653161916762	0.022853647020183
BESC-1006	-0.0325014972380208	-0.0439205789973954	-0.098151544965347	-0.00634098399821132	-0.0049274567615991	0.0550926738551125	0.00139230375603068	-0.00303203380524845	0.00213990837012893	0.0048786530827358	-0.00935625444534515	-0.00665798990004177	-0.0266962403807	-0.00816094496765002	0.0244028044122861	0.000474315858584025	-0.0091111540135997	0.0024461132727929	0.0140595566880393	-0.0100555071603046	-0.00552186637254999	-0.014422427557747	0.0144157199468257	-0.00194905928301875	0.00582622607732354	-0.0195317968982435	-0.0164281323419697	-0.00504075018402459	0.000745379294269339	0.0304806254119103	0.0604118896011109	0.0408286980958857
BESC-1007	-0.0297703205486303	-0.0434496452323845	-0.0994485902031233	0.00842229752129765	0.00213434445054182	0.0577811929145024	0.00111478929472589	0.00942341222716094	0.0146399708856134	0.00481619483594914	-0.014646911385216	0.00310509994111315	-0.014622135974167	-0.00244814004496039	0.0226513117348233	-0.0014896146329674	-0.00407435002686344	-0.00441548305896149	-0.00296618397659617	-0.022321177303416	-0.00229444255662427	-0.0109123848883498	0.0495250721037707	0.0101615726040934	0.00482185179228075	-0.00473452606496403	-0.0126803354214421	-0.013620643808297	0.0131446437649001	0.0310540438296689	0.050735170722389	0.0371488446097681
BESC-1008	-0.0318415542831205	-0.0428810192172979	-0.102683508633557	-0.0115828094911207	-0.00733340182087156	0.0606158376390327	-0.010060327513416	0.00387015831170012	0.00688149421574576	0.00992506134116865	-0.0198812888549167	0.000396689793357021	-0.0154378898822019	0.000998669742151881	0.0263959696399925	-0.00164436119071329	-0.00618045243212461	0.00957903386688701	0.0173042229989118	-0.0331917611600625	-0.0127138982339229	-0.0128658294396441	0.0428924427249434	0.000564930435765782	-0.00757443823107243	-0.00725289523342234	0.00401007708367861	-0.00511515628097965	0.00269556088332418	0.0156799789802406	0.0296095683501756	0.0124002387120975
BESC-1009	-0.031177192189112	-0.0455600554425795	-0.105701812264512	-0.00891526835917348	-0.00805391506894582	0.0623808406978412	-0.00853597033403861	-0.000448526126048161	0.00724654983912111	0.0128435523882365	-0.0226657166542809	0.00299284066822072	-0.0190600975847385	-0.00595110995101858	0.0240075660478707	0.0034530570945215	-0.00716567346597833	-0.00173709894056872	0.00887180212528885	-0.0306500773442783	-0.0134802831378372	-0.0144865792117292	0.0496050506364615	0.00720405446350366	-0.020098295255115	-0.0109281185680384	-0.000602616920886246	-0.00792831481603879	0.000152425804118399	0.0137728042497163	0.0332032153466708	0.0194575379448604
