Geno,Latitude,Longitude,River
BESC-110,46.1148533,-122.9902365,Columbia
BESC-111,46.11506654,-122.9901306,Columbia
BESC-112,46.11532152,-122.9905997,Columbia
BESC-113,46.11589836,-122.9904982,Columbia
BESC-114,46.11603088,-122.9899613,Columbia
BESC-115,46.10981159,-122.9854544,Columbia
BESC-116,46.10928018,-122.9856922,Columbia
BESC-117,46.10891774,-122.9855224,Columbia
BESC-118,46.1086709,-122.9853659,Columbia
BESC-119,46.1082435,-122.9846934,Columbia
BESC-12,46.16550498,-123.0456435,Columbia
BESC-120,46.10776632,-122.9841146,Columbia
BESC-121,46.10753045,-122.9836102,Columbia
BESC-122,46.10719811,-122.9830777,Columbia
BESC-123,46.10699669,-122.9824988,Columbia
BESC-124,46.10671255,-122.9819639,Columbia
BESC-125,46.10729266,-122.9811362,Columbia
BESC-126,46.10751252,-122.9805029,Columbia
BESC-127,46.10761813,-122.9814417,Columbia
BESC-128,46.10817142,-122.9801329,Columbia
BESC-129,46.10821165,-122.9802068,Columbia
BESC-13,46.16493828,-123.0450203,Columbia
BESC-130,46.10839094,-122.9796758,Columbia
BESC-131,46.10848264,-122.9788285,Columbia
BESC-132,46.10893576,-122.9782983,Columbia
BESC-133,46.10894867,-122.9775241,Columbia
BESC-134,46.10856403,-122.9758325,Columbia
BESC-135,46.10984637,-122.9793801,Columbia
BESC-136,46.11039723,-122.9796148,Columbia
BESC-137,46.11081616,-122.9802577,Columbia
BESC-138,46.11100735,-122.9806937,Columbia
BESC-139,46.11147163,-122.9817578,Columbia
BESC-14,46.16404477,-123.0444661,Columbia
BESC-140,46.11173457,-122.982744,Columbia
BESC-15,46.16332702,-123.0436446,Columbia
BESC-16,46.16324287,-123.0429149,Columbia
BESC-17,46.16364067,-123.0421053,Columbia
BESC-18,46.16242806,-123.0409347,Columbia
BESC-19,46.16412758,-123.0391806,Columbia
BESC-2,46.17057201,-123.050969,Columbia
BESC-20,46.16568829,-123.036499,Columbia
BESC-21,46.16598358,-123.0348417,Columbia
BESC-22,46.16609615,-123.0335421,Columbia
BESC-23,46.16602792,-123.0326872,Columbia
BESC-24,46.16556365,-123.032299,Columbia
BESC-25,46.16699344,-123.0309107,Columbia
BESC-26,46.10617443,-122.8883409,Columbia
BESC-27,46.10528813,-122.8874526,Columbia
BESC-28,46.10564612,-122.8867632,Columbia
BESC-29,46.10611056,-122.8861222,Columbia
BESC-3,46.17018593,-123.0507374,Columbia
BESC-30,46.10620762,-122.8849087,Columbia
BESC-31,46.10631776,-122.8839227,Columbia
BESC-32,46.10635179,-122.8825563,Columbia
BESC-33,46.10539299,-122.8833919,Columbia
BESC-34,46.10512921,-122.8839362,Columbia
BESC-35,46.1041797,-122.8845245,Columbia
BESC-36,46.10368651,-122.884318,Columbia
BESC-37,46.10329248,-122.8835434,Columbia
BESC-38,46.10348945,-122.8824537,Columbia
BESC-39,46.10339834,-122.8815617,Columbia
BESC-4,46.1698489,-123.0500854,Columbia
BESC-40,46.10329625,-122.880777,Columbia
