,yhat,metadata
GW-9844,48.746820547502416,47.73333333
GW-9920,47.13578001829234,47.1
GW-9794,47.59710899897558,48.5
GW-11051,46.34732765332595,46.1
GW-9909,46.995856113964685,47.11666667
GW-9826,48.382586504574284,
GW-7980,46.169342019629504,46.13833333
GW-9884,47.41662378164885,47.2
GW-11033,46.42308830484888,44.5
GW-9765,48.26367131676284,48.81666667
GW-2048,47.43372808045214,
GW-11049,45.72167943508678,46.1
GW-9817,48.47727392875064,
GW-1909,46.535534367069175,
GW-9841,47.87466193851904,47.73333333
GW-9791,48.05323310174584,48.91666667
GW-9778,48.393309051260665,48.71666667
GW-11054,48.47133993736674,47.0
GW-7974,45.50752126700493,45.55
GW-9899,47.69804517628352,47.11666667
GW-9581,48.080555698905144,47.16666667
GW-9914,47.71014786349074,47.1
GW-9870,47.97898398849836,47.2
GW-9760,47.34251534168509,48.81666667
GW-9812,49.12091503273297,48.51666667
GW-9789,47.86664927149405,48.91666667
GW-9868,47.840052338086466,47.2
GW-7985,46.46301323599577,46.11666667
GW-9823,48.33910336632765,
GW-9947,48.50886117760984,46.05
GW-11036,47.03788557801641,44.5
GW-10984,48.55461106054345,48.4
GW-9585,48.361807144684505,47.86666667
GW-10998,48.09176736032068,48.4
GW-9910,47.26734695595035,47.11666667
GW-9874,47.661554945007914,47.2
GW-9845,48.18126748610053,47.73333333
GW-9921,47.00746905123106,47.1
GW-9795,48.41471150227021,48.5
GW-9827,48.61077401920606,
GW-7981,45.859636849367995,46.13333333
GW-11032,47.62909378106887,44.5
GW-9885,46.99628339230544,47.2
GW-11048,45.90143020326321,46.1
GW-2515,46.73356060120595,
GW-9764,48.84248392806709,48.81666667
GW-9816,48.16659716277577,
GW-10958,47.062843341223704,44.5
GW-9768,48.75395501987201,48.71666667
GW-11044,46.291459287747315,46.1
GW-9781,48.07855590747,48.91666667
GW-9851,48.90872673492393,47.73333333
GW-4579,47.52574325129644,46.71666667
GW-9904,47.18188032137645,47.11666667
GW-9578,47.927766286176514,47.16666667
GW-9860,48.24320880261573,47.68333333
GW-9889,47.86276439478256,47.08333333
GW-9591,49.183066929572405,47.45
GW-9759,46.96990361431102,48.81666667
GW-9849,48.97844517018982,47.73333333
GW-9799,48.152378225597275,48.5
GW-9966,46.76380849691931,45.95
GW-9802,48.34118206735369,48.5
GW-9770,47.94805654514463,48.71666667
GW-11026,48.8044585912773,48.4
GW-9589,48.969560030996135,47.45
GW-9891,47.715726914136944,47.08333333
GW-9833,48.403289103390705,47.73333333
GW-9957,46.19634574830697,46.15
GW-9878,46.89040428155588,47.2
GW-9900,46.99772146898486,47.11666667
GW-7989,46.31010902580382,46.08333333
GW-10988,49.2420280604443,
GW-9595,46.941065622997,44.75
GW-9785,48.630413584480564,48.91666667
GW-9855,48.01927840333477,47.68333333
GW-11022,48.95551371306009,48.4
GW-7978,46.381126698681086,46.11666667
GW-9895,47.26858306003317,47.08333333
GW-9918,47.374855556356565,47.1
GW-7991,46.425211742607225,46.0
GW-9837,48.44321890654997,47.73333333
GW-9953,47.39044016357291,
GW-9962,47.54056118689465,45.95
GW-9806,48.54756302765734,48.51666667
GW-9774,48.233525296595,48.71666667
